raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Mrs. Muntz,341,52,415,97.21999803,1.328203812
Itchy,341,69,445,91.41708105,1.736218284
Mindy,339,70,428,95.10888053,1.196649389
Father Sean,339,52,450,87.91709581,2.616216814
Scratchy,339,89,408,101.1494074,0.097275529
Jessica,338,61,413,97.83871229,0.989326802
KEMI,337,49,426,92.91185248,2.008565373
Walther Hotenhoffer,336,44,431,90.56444805,2.524491342
JANEY,335,57,452,86.72278345,2.623299293
Security Guard,334,72,428,93.71694694,1.34012475
Ms. Melon,332,42,447,84.9074498,3.38020654
Interviewer,332,48,435,88.96819779,2.568343373
MOOG,332,40,398,96.99242771,1.792783133
Ethan Foley,331,56,460,83.26462802,3.113970112
Laura Powers,330,58,389,101.3345455,0.538662487
Dwight,329,62,400,98.59180876,0.826020688
Roofi,327,43,374,102.356646,0.871838418
Nigel Bakerbutcher,325,49,443,84.78654945,3.081042386
BLEEDING GUMS,323,54,390,98.61518949,0.990455796
Terri Mackleberry,323,64,398,97.46845903,0.91821933
STILLWATER,322,37,448,80.29740893,4.221445358
Howard K. Duff VIII,321,56,409,93.22435164,1.68042668
Henry VIII,320,44,399,93.96755682,1.959488636
Alec Baldwin,318,55,411,91.62494511,1.915852487
Isabel Gutierrez,318,53,469,75.97330189,4.153144654
Rex Banner,314,51,416,88.50425565,2.44429749
Radio Announcer,314,43,457,76.29511406,4.431792327
Farmer,314,58,398,94.10815287,1.478067208
Chester Lampwick,314,56,416,89.06222134,2.229906733
Mark Hamill,314,56,381,98.49215764,0.914620109
BROCKMAN,313,47,470,73.04038814,4.726083883
Bumblebee Man,313,81,389,97.77098647,0.582212756
Pierce Brosnan,311,55,382,97.18181,1.109163403
Colby,311,41,429,82.43681829,3.645463101
Teenage Homer,305,69,374,98.6093894,0.60342124
MASON,305,47,400,89.2974782,2.4162609
Lyle McCarthy,304,65,391,93.27673887,1.410973684
Bob Costas,303,38,426,79.79913627,4.109835852
Instructor,303,42,388,91.17982673,2.333802452
Mrs. Glick,302,53,381,94.32095152,1.519019118
Saleswoman,302,46,413,84.47660236,3.107520875
Robert Marlowe,301,35,386,89.61563455,2.896225914
Dr. Zweig,300,39,411,83.12530769,3.576
Voice,300,65,360,100.6303846,0.37
Auctioneer,299,58,393,90.40584448,1.930216238
Tammy,299,38,383,90.48132855,2.593734378
Ron Howard,298,52,382,92.57128936,1.771174497
Patrick,297,41,373,93.23395418,2.054650571
George Plimpton,297,49,415,82.47073593,3.262093039
Betty White,296,37,389,87.53459459,3.037432432
10-Year-Old Homer,295,59,342,103.6813559,0.04
Lunchlady Dora,294,49,382,90.82255102,2.081972789
Renee,294,55,365,96.37875139,1.144387137
"ROGER MYERS, JR.",294,35,401,82.91920408,3.780557823
Bender,293,68,369,95.91751681,0.95119203
All,289,63,385,89.47646674,1.918770802
Kirk Voice Milhouse,289,46,358,95.65953626,1.477518429
Richard Dean Anderson,289,36,381,87.15531767,3.097234717
Frink Senior,289,40,360,94.11754196,1.926711938
MAXINE LOMBARD,288,48,431,74.13875,4.409027778
Juliet Hobbes,287,42,385,86.41136179,2.904268293
Aide,287,34,399,80.65257174,4.106936872
Brother Faith,286,50,360,94.53968951,1.493946853
Kim Basinger,286,53,372,91.31866935,1.86278005
Chong,286,54,369,92.30751101,1.70003108
Marge's Thoughts,285,48,354,95.72633224,1.382467105
Lunchlady Doris,284,44,368,90.66110115,2.217413572
Princess Penelope,284,46,352,95.71214023,1.4431782
Alex,284,59,346,98.8802232,0.663344474
British Commentator,282,20,396,73.7235,6.479212766
Cesar,281,45,360,92.11254725,1.962771056
Doctor,281,43,382,85.19426384,2.99988579
Jesse Grass,281,49,358,93.23207931,1.67998257
Belle,281,38,346,95.15994709,1.823484735
Reporter,281,52,377,87.84760505,2.348816726
Ms. Cantwell,280,47,355,93.5274772,1.694118541
Milo,278,41,345,94.96359624,1.698275136
Macarthur Parker,276,33,364,86.77199605,3.234137022
Receptionist,276,49,376,85.86568323,2.682097013
Stan,273,42,340,94.87486264,1.640970696
Grady,273,47,349,92.78771335,1.760300834
Madam Wu,273,37,377,82.51737452,3.582805663
Santa Claus,272,54,333,98.14961329,0.820767974
DANIELSON,272,44,370,85.47957219,2.872379679
Cashier,270,41,332,96.12418699,1.487922313
Horst,265,38,375,80.03972939,3.82785005
Mrs. McConnell,264,38,342,90.18796651,2.405837321
MURDOCK,264,29,355,83.83363636,3.82776907
Slick Publisher,262,42,344,89.42547074,2.335986914
Alberto,262,32,355,83.89491651,3.591674618
Number One,262,28,381,74.31230916,5.218827699
Krusty Doll,261,58,313,100.8123276,0.315957854
BARBARA,261,40,324,95.19143534,1.603025862
Edward,261,42,362,83.18956897,3.199854953
Lifeways Editor,260,39,365,81.30294872,3.575384615
Captain Jack,260,42,305,101.309359,0.666593407
Gina Vendetti,260,39,307,100.1752564,0.943076923
Rachel,259,19,311,91.41361918,3.895427759
Jim Hope,259,32,334,89.52177425,2.783550917
Employee,258,42,326,93.70232558,1.715791805
Simon,257,39,337,89.21177991,2.453151751
TABITHA,256,36,312,96.51097222,1.564583333
CAIN,256,34,344,85.51139706,3.202720588
Sheriff,256,44,304,100.4670455,0.691590909
Casino Manager,255,39,348,84.74434389,3.063529412
CAPTAIN BOWDITCH,254,37,353,82.29314641,3.486509896
Bleeding Gums Murphy,254,25,315,91.60527717,3.006258268
Ron Rabinowitz,252,34,315,93.56205882,2.050588235
Fbi Supervisor,251,44,333,88.80663935,2.289752807
Meathook,251,43,320,93.05365885,1.730336329
Terence,251,38,345,83.84778937,3.205176138
Martha Stewart,251,31,336,85.3673718,3.363757872
MEYERS,250,41,326,90.32757561,2.17524878
Dave,250,40,334,87.46565,2.6123
G. K. Willington,250,28,305,94.5605,2.288142857
Mike Scioscia,249,47,312,95.4528403,1.261712381
Wiseguy,249,44,335,87.27174562,2.492547463
Officer Goodman,249,38,326,89.42263316,2.4145223
Male Executive,248,37,318,91.5527245,2.154699215
Detective,248,37,320,90.87046643,2.249860506
Mick Jagger,247,36,327,87.87016251,2.707695682
Charlie,245,39,322,89.27014652,2.368571429
Allison,245,39,326,87.88892203,2.56122449
Bligh,242,41,313,91.42336323,1.973934691
Technician,241,47,319,89.64951267,2.028874371
Nick,241,41,308,92.74927841,1.78293695
